Law ID,State,State Postal Abbreviation,Type of Law,Effect,Type of Change,Effective Date,Effective Date Note,Effective Date Month,Effective Date Day,Effective Date Year,Statutory Citation,Content,Controlling Law at Beginning of Period (1979),Age for Minimum Age Laws,"Length of Waiting Period (days, handguns)",Additional Context and Notes,Caveats and Ambiguities,Confirmation Code
IA1011,Iowa,IA,Minimum age for youth possession - handguns and long guns,Restrictive,Implement,1/1/1979,,1,1,1979,Iowa Code § 724.22,"1. Except as provided in subsection 3, a person who sells, loans, gives, or makes available a rifle or shotgun or
ammunition for a rifle or shotgun to a minor commits a serious misdemeanor for a first offense and a class ""D"" felony
for second and subsequent offenses.
2. Except as provided in subsections 4 and 5, a person who sells, loans, gives, or makes available a pistol or
revolver or ammunition for a pistol or revolver to a person below the age of twenty-one commits a serious misdemeanor
for a first offense and a class ""D"" felony for second and subsequent offenses.",1,21,,Subsections (3)-(5) provide exceptions for parental permission and supervision.,,
IA1012,Iowa,IA,Minimum purchase and sale age - handguns and long guns,Restrictive,Modify,1/1/1979,,1,1,1979,"Iowa Code § 724.22(1), (2)","1. Except as provided in subsection 3, a person who sells, loans, gives, or makes available a rifle or shotgun or ammunition for a rifle or shotgun to a minor commits a serious misdemeanor for a first offense and a class ""D"" felony for second and subsequent offenses.
2. Except as provided in subsections 4 and 5, a person who sells, loans, gives, or makes available a pistol or revolver or ammunition for a pistol or revolver to a person below the age of twenty-one commits a serious misdemeanor for a first offense and a class ""D"" felony for second and subsequent offenses.",1,21,,,,
IA1013,Iowa,IA,One gun per month - handguns,,,,,,,,,No law regarding one gun per month,1,,,,,
IA1014,Iowa,IA,Open Carry license required - handguns,Permissive,Implement,1/1/1978,,1,1,1978,Iowa Code § 724.4(1); (4)(i),"1. Except as otherwise provided in this section, a person who goes armed with a dangerous weapon concealed on or about the person, or who, within the limits of any city, goes armed with a pistol or revolver, or any loaded firearm of any kind, whether concealed or not, or who knowingly carries or transports in a vehicle a pistol or revolver, commits an aggravated misdemeanor.                                                                          4. Subsections 1 through 3 do not apply to any of the following: i. A person who has in the person's possession and who displays to a peace officer on demand a valid permit to carry weapons which has been issued to the person, and whose conduct is within the limits of that permit. A person shall not be convicted of a violation of this section if the person produces at the person's trial a permit to carry weapons which was valid at the time of the alleged offense and which would have brought the person's conduct within this exception if the permit had been produced at the time of the alleged offense.
",1,,,See IA - 66 G.A. § 2404 (1976) for original version.,,
IA1015,Iowa,IA,Open Carry prohibited - loaded long guns,Restrictive,Implement,1/1/1978,,1,1,1978,Iowa Code § 724.4,"Except as otherwise provided in this section, a person who goes armed with a dangerous weapon concealed on or about the person, or who, within the limits of any city, goes armed with a pistol or revolver, or any loaded firearm of any kind, whether concealed or not, or who knowingly carries or transports in a vehicle a pistol or revolver, commits an aggravated misdemeanor...(e) A person who for any lawful purpose carries an unloaded pistol, revolver, or other dangerous weapon inside a closed and fastened container or securely wrapped package which is too large to be concealed on the person.(i) A person who has in the person's possession and who displays to a peace officer on demand a valid permit to carry weapons which has been issued to the person, and whose conduct is within the limits of that permit. A person shall not be convicted of a violation of this section if the person produces at the person's trial a permit to carry weapons which was valid at the time of the alleged offense and which would have brought the person's conduct within this exception if the permit had been produced at the time of the alleged offense.",1,,,,,
IA1016,Iowa,IA,Permit to Purchase - handguns,Restrictive,Implement,1/1/1978,,1,1,1978,Iowa Code Ann. § 724.15,Any person who acquires ownership of any pistol or revolver shall first obtain an annual permit.,,,,,,
IA1017,Iowa,IA,Registration - handguns and long guns,,,,,,,,,No law requiring registration of handguns or long guns,1,,,,,
IA1018,Iowa,IA,Waiting period - long guns,,,,,,,,,No law imposing waiting period for purchase of long guns,1,,,,,G
IA1019,Iowa,IA,Waiting period - permits to purchase (handguns),Restrictive,Implement,1/1/1978,,1,1,1978,Iowa Code § 724.20,"
The permit shall be valid throughout the state and shall be valid three days after the date of application and shall be invalid one year after the date of application.",1,,3,Permit law.,,
KS1001,Kansas,KS,Background Checks for private sales - handguns and long guns,,,,,,,,,No law requiring background checks for private sales of handguns or long guns,1,,,,,
KS1002,Kansas,KS,Background checks for sales from dealers - handguns and long guns,,,,,,,,,No law requiring background checks for sales from dealers of handguns or long guns,1,,,,,
KS1003,Kansas,KS,Carrying a concealed weapon (CCW) - prohibited,Restrictive,Implement,1/1/1970,See caveats and ambiguities about this date,1,1,1970,Kan. Stat. Ann. § 21-4201,"(a) Criminal use of weapons is knowingly: … (4)  carrying any pistol, revolver or other firearm concealed on one's person except when on the person's land or in the person's abode or fixed place of business;",1,,,,Unclear what year this law was first implemented.,
KS1004,Kansas,KS,Carrying a concealed weapon (CCW) - shall issue,Permissive,Modify,1/1/2007,,1,1,2007,Kan. Stat. Ann. § 75-7c01 et seq.,"75-7c03 License to carry concealed handgun; issuance; form; display on demand of law enforcement officer; reciprocity.

 (a) The attorney general shall issue licenses to carry concealed handguns to persons who comply with the application and training requirements of this act and who are not disqualified under K.S.A. 2010 Supp. 75-7c04, and amendments thereto. Such licenses shall be valid throughout the state for a period of four years from the date of issuance.",,,,,,
KS1005,Kansas,KS,Carrying a concealed weapon (CCW) - shall issue (permit not required),Permissive,Modify,7/1/2015,,7,1,2015,Kan. Stat. Ann. § 21-6302,"(a) Criminal carrying of a weapon is knowingly carrying: … (4) any pistol, revolver or other firearm concealed on one's person if such person is under 21 years of age, except when on such person's land or in such person's abode or fixed place of business;",,,,"License system still in effect for reciprocity, Sec. 75-7c03(a) now reads ""The availability of licenses to carry concealed handguns under this act shall not be construed to impose a general prohibition on the carrying of handguns without such license, whether carried openly or concealed, or loaded or unloaded.""",,
KS1006,Kansas,KS,Castle Doctrine,,,,,,,,,Common Law Castle Doctrine,1,,,,,
KS1007,Kansas,KS,Castle Doctrine - Expanded,Permissive,Modify,5/19/2006,,5,19,2006,Kans. Stat. Ann. § 21- 5223,"(b) A person is justified in the use of deadly force to prevent or terminate unlawful entry into or attack upon any dwelling or occupied vehicle if such person reasonably believes deadly force is necessary to prevent imminent death or great bodily harm to such person or another. (c) Nothing in this section shall require a person to retreat if such person is using force to protect such person's dwelling, place of work or occupied vehicle.",,,,See Kans. Stat. Ann. § 21- 5223.,,
KS1008,Kansas,KS,Castle Doctrine - Stand Your Ground,Permissive,Modify,7/1/2011,,7,1,2011,Kans. Stat. Ann. § 21- 5222,"(a) A person is justified in the use of force against another when and to the extent it appears to such person and such person reasonably believes that such use of force is necessary to defend such person or a third person against such other's imminent use of unlawful force.
(b) A person is justified in the use of deadly force under circumstances described in subsection (a) if such person reasonably believes that such use of deadly force is necessary to prevent imminent death or great bodily harm to such person or a third person.
(c) Nothing in this section shall require a person to retreat if such person is using force to protect such person or a third person.
",,,,,,
